IP Address,Timestamp,Request Method,Request Path,Status Code,User Agent
66.111.54.249,22/Jan/2019:03:56:51 +0330,GET,/image/31485/productModel/200x200,200,https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1
66.111.54.249,22/Jan/2019:03:56:51 +0330,GET,/image/50995/productModel/200x200,200,https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1
66.111.54.249,22/Jan/2019:03:56:51 +0330,GET,/image/64431/productModel/200x200,200,https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1
66.111.54.249,22/Jan/2019:03:56:51 +0330,GET,/image/65362/productModel/200x200,200,https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1
173.249.54.67,22/Jan/2019:03:56:51 +0330,GET,/image/34185?name=mfp-m130a-1.jpg&wh=200x200,200,-
91.99.72.15,22/Jan/2019:03:56:52 +0330,GET,/product/2623?model=2699,200,-
207.46.13.136,22/Jan/2019:03:56:53 +0330,GET,/filter/b152%2Cp1%2Cb144%2Cb880,200,-
91.99.72.15,22/Jan/2019:03:56:53 +0330,GET,/product/32718/63159/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%A7%DB%8C%DA%A9%D8%B3-%D9%88%DB%8C%DA%98%D9%86-%D9%85%D8%AF%D9%84-LE-29D40,200,-
66.249.66.194,22/Jan/2019:03:56:54 +0330,GET,/product/20821/44932/%D8%AF%D8%B3%D8%AA%DA%AF%D8%A7%D9%87-%D8%A8%D8%AE%D9%88%D8%B1-%D8%B2%DB%8C%DA%A9%D9%84%D8%A7%D8%B3-%D9%85%D8%AF-%D9%85%D8%AF%D9%84-%D8%A8%D8%AE%D9%88%D8%B1-%D8%B3%D8%B1%D8%AF-ZYK-C01,302,-
157.55.39.245,22/Jan/2019:03:56:54 +0330,GET,/blog/sports/gym-and-fitness/%db%b7-%d8%a7%d8%b4%d8%aa%d8%a8%d8%a7%d9%87-%d8%b1%d8%a7%db%8c%d8%ac-%d8%af%d8%b1-%d8%aa%d9%85%d8%b1%db%8c%d9%86%d8%a7%d8%aa-%d8%a8%d8%af%d9%86%d8%b3%d8%a7%d8%b2%db%8c/,200,-
5.209.200.218,22/Jan/2019:03:56:54 +0330,GET,/m/filter/b99%2Cp4510%2Cstexists%2Ct116,200,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b99,p4510,stexists?amp_js_v=0.1&usqp=mq331AQECAEoAQ%3D%3D"
